_id,Price,Location,Area
72,4.5 Crore,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",1 Kanal
73,3.1 Crore,"Wapda Town Phase 2 - Block N1, Wapda Town Phase 2",10 Marla
74,1.2 Crore,"Wapda Town Phase 1 - Block G5, Wapda Town Phase 1",5 Marla
75,10 Crore,"Wapda Town Phase 1 - Block E2, Wapda Town Phase 1",1 Kanal
76,5 Crore,"Wapda Town Phase 1, Wapda Town",1 Kanal
77,2.5 Crore,"Wapda Town Phase 2 - Block Q1, Wapda Town Phase 2",10 Marla
78,3.15 Crore,"Wapda Town Phase 1 - Block A1, Wapda Town Phase 1",1.2 Kanal
79,3.25 Crore,"Wapda Town Phase 2, Wapda Town",1 Kanal
80,2.6 Crore,"Wapda Town Phase 1 - Block D3, Wapda Town Phase 1",10 Marla
81,4 Crore,"Wapda Town Phase 1 - Block H1, Wapda Town Phase 1",2 Kanal
82,1.9 Crore,"Wapda Town Phase 2 - Block M, Wapda Town Phase 2",10 Marla
83,2.6 Crore,"Wapda Town Phase 2 - Block Q1, Wapda Town Phase 2",1 Kanal
84,2 Crore,"Wapda Town Phase 2 - Block N2, Wapda Town Phase 2",10 Marla
85,1.9 Crore,"Wapda Town Phase 2 - Block N3, Wapda Town Phase 2",10 Marla
86,95 Lakh,"Wapda Town Extension, Wapda Town",10 Marla
87,2.4 Crore,"Wapda Town Phase 1 - Block A2, Wapda Town Phase 1",1 Kanal
88,3.5 Crore,"Wapda Town Phase 1 - Block H1, Wapda Town Phase 1",2 Kanal
89,7 Crore,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",2 Kanal
90,3 Crore,"Wapda Town Extension, Wapda Town",1 Kanal
91,2.4 Crore,"Wapda Town Extension, Wapda Town",1 Kanal
92,3.5 Crore,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",1.1 Kanal
