,_id,Price,Location,Area
75,76,50000000.0,"Wapda Town Phase 1, Wapda Town",605.0
76,77,25000000.0,"Wapda Town Phase 2 - Block Q1, Wapda Town Phase 2",302.501
77,78,31500000.0,"Wapda Town Phase 1 - Block A1, Wapda Town Phase 1",726.0
78,79,32500000.0,"Wapda Town Phase 2, Wapda Town",605.0
79,80,26000000.0,"Wapda Town Phase 1 - Block D3, Wapda Town Phase 1",302.501
80,81,40000000.0,"Wapda Town Phase 1 - Block H1, Wapda Town Phase 1",1210.0
81,82,19000000.0,"Wapda Town Phase 2 - Block M, Wapda Town Phase 2",302.501
82,83,26000000.0,"Wapda Town Phase 2 - Block Q1, Wapda Town Phase 2",605.0
83,84,20000000.0,"Wapda Town Phase 2 - Block N2, Wapda Town Phase 2",302.501
84,85,19000000.0,"Wapda Town Phase 2 - Block N3, Wapda Town Phase 2",302.501
85,86,9500000.0,"Wapda Town Extension, Wapda Town",302.501
86,87,24000000.0,"Wapda Town Phase 1 - Block A2, Wapda Town Phase 1",605.0
87,88,35000000.0,"Wapda Town Phase 1 - Block H1, Wapda Town Phase 1",1210.0
88,89,70000000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",1210.0
89,90,30000000.0,"Wapda Town Extension, Wapda Town",605.0
90,91,24000000.0,"Wapda Town Extension, Wapda Town",605.0
91,92,35000000.0,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",665.5
